Article,Statut,Prix (€),Prix de vente initial (€),Frais de livraison (€),Suivi par (personnes),Vendus,Lien du produit
"LG Q92 5G LM-Q920N Single SIM 48MP 6GB RAM 128GB ROM Phone 6.67""Android",Professionnel,"135,17","143,80",Livraison gratuite,0,0,https://www.ebay.fr/itm/354737807991?itmmeta=01J0C65PRGZX20VRDEPBFSNZTE&hash=item5298056277:g:ugQAAOSwopNj84FB&var=624073748927
Motorola Moto G Pure 32GB AT&T GSM Unlocked Deep Indigo - Excellent,Professionnel,"83,54",N/A,"29,54",0,0,https://www.ebay.fr/p/5051794982?iid=265986625265&rt=nc
ZTE Majesty Z796C - 4GB - Black (Straight Talk) Smartphone,Professionnel,"46,42",N/A,"33,63",0,0,https://www.ebay.fr/p/177660797?iid=386095079004&rt=nc
Original NOKIA X RM-980 Dual Sim Qual-Core 4GB ROM 3MP 3G WIFI Unlocked GPS 4 In,Professionnel,"61,08","64,98",Livraison gratuite,0,0,https://www.ebay.fr/itm/194264392871?itmmeta=01J0C65PRG16MRC163173G9D29&hash=item2d3b0f64a7:g:R80AAOSwjMJXCNJA&var=494376135739
Alcatel OneTouch Fierce Silver & Black MetroPCS Read Description Parts Only!!,Particulier,"13,94",N/A,"19,61",0,0,https://www.ebay.fr/p/205777726?iid=364851056215&rt=nc
"Android LG K4 K120E K121 Original Single SIM 8GB Quad-Core Smartphone 4.5""",Professionnel,"79,37  à 88,19",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/363524828506?itmmeta=01J0C65PRGTTS0RN2CPVWM9JYD&hash=item54a3c4ad5a:g:uhAAAOSwaRhgRAl3&var=632747473939
Mini Tester USB Display Detector Misura Volt e Ampere Monitor 5V Charger Doctor,Professionnel,"14,99",N/A,"15,00",0,0,https://www.ebay.fr/itm/302653104826?itmmeta=01J0C65PRGZVR68MQGMQRB4SF6&hash=item467787e2ba:g:dpIAAOSwl8NVdviD
Original Samsung Galaxy A13 5G A136U 4GB/64GB 5G Android Smartphone 4G LTE,Professionnel,"121,20","128,93",Livraison gratuite,0,0,https://www.ebay.fr/p/23053008621?iid=266539895498&rt=nc
"Nokia Lumia 900 3G Wifi 8.0MP Unlocked Touchscreen Windows Smartphone 4.3""",Professionnel,"62,75","66,05",Livraison gratuite,0,0,https://www.ebay.fr/p/114956481?iid=404368341454&var=674302779667&rt=nc
TracFone Blu View 2 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim...,Professionnel,"37,13",N/A,"27,92",0,0,https://www.ebay.fr/p/13046824564?iid=305579879133&rt=nc
"Original OPPO R11 4G LTE 6GB RAM 64GB ROM dual sim Android Smartphone 20MP 5.5""",Professionnel,"87,66","93,26",Livraison gratuite,0,0,https://www.ebay.fr/itm/355558996153?itmmeta=01J0C65PRGAJCGPRS37G1BEQFT&hash=item52c8f7b8b9:g:8T8AAOSwbPteAOpO&var=624692319842
"SAMSUNG SLM (AT&T) CLEAN ESN, UNTESTED, PLEASE READ!! 59292",Professionnel,"20,82",N/A,"245,95",0,0,https://www.ebay.fr/itm/176213701130?itmmeta=01J0C65PRGX4HMRDR4MPRTS8ZA&hash=item290727b20a:g:qf8AAOSw~9xluB78
"Motorola Moto G Play 6.5"" 2021 Case Crystal Butterfly Slim TPU Ring Stand Cover",Particulier,"25,04",N/A,"27,50",3,0,https://www.ebay.fr/itm/294153005072?itmmeta=01J0C65PRGMJQ5T7HJPJC61YR3&hash=item447ce2a810:g:3T0AAOSwUmBgjQx3
LG PREMIER cell Smartphone TRACFONE 1350 minutes text data in MB 5.3 inch New,Particulier,"92,84",N/A,"29,87",11,0,https://www.ebay.fr/itm/125921561398?itmmeta=01J0C65PRH0RAWVBHC5X8PPJ2H&hash=item1d51828b36:g:JrkAAOSwvv5Zew0O
Unlocked Apple iPhone 6 Plus - iOS 16GB Original Gray Silver Golden 4G LTE,Professionnel,"82,11",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/404591860517?itmmeta=01J0C65PRHH079GF3GY34GB3H7&hash=item5e338ddb25:g:yZcAAOSwvC1c1TE0&var=674584992776
"NOKIA 2V (VERIZON) CLEAN ESN, WORKS, PLEASE READ! 54246",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/175535304763?itmmeta=01J0C65PRHQ63634NMQ61DH52H&hash=item28deb8303b:g:mJMAAOSwNPdjm5MB
MOTOROLA SENIOR E550 ORIGINAL BASIQUE FACILE BON MARCHÉ PAS CHER DÉBLOQUÉ,Particulier,"18,96",N/A,"16,59",0,0,https://www.ebay.fr/itm/125916828737?itmmeta=01J0C65PRHTKXZD41TQTNE7GGM&hash=item1d513a5441:g:vLEAAOSwlhJkUlCP
Samsung Galaxy J3 Emerge J327P Sprint J327A(AT&T) J327T(T-Mobile) J327V(Verizon),Professionnel,"61,08","64,98",Livraison gratuite,0,0,https://www.ebay.fr/itm/186184739751?itmmeta=01J0C65PRHZAXMJ8B6EK6G00HT&hash=item2b5979aba7:g:WjsAAOSwJzViqeLU&var=694222200736
G50 plus G0350WW 32GB GSM Unlocked Android Smart Phone - Black,Professionnel,"86,33",N/A,"152,18",0,0,https://www.ebay.fr/itm/225732540278?itmmeta=01J0C65PRH2P75RNP3Z4CCKSRC&hash=item348eb53776:g:RaQAAOSwdU1k3kUc
PROP BASIC EASY BUTTONS  SIEMENS A50 ON ORANGE TALKHOME CO-OP READ DESCRIPTION,Particulier,"16,59",N/A,"16,59",0,0,https://www.ebay.fr/itm/266237980556?itmmeta=01J0C65PRHGHH6Y9F3Q742ZKZY&hash=item3dfd052f8c:g:MrEAAOSw4P1Zw~Zz
"ZTE Z FIVE (UNKNOWN CARRIER) CLEAN ESN, WORKS, PLEASE READ! 47731",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/185357160686?itmmeta=01J0C65PRH580EFPT0G0WKK0HP&hash=item2b2825d0ee:g:fm8AAOSweU5iPgUD
"ZTE TALK 'N TEXT - (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 32822",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/174066181755?itmmeta=01J0C65PRHP5WC47SDQCGKDXG1&hash=item288727267b:g:O3gAAOSwfBVdpjC3
Samsung Xcover 2 s7710 GPS Wi-Fi TouchScreen Dual Core Unlocked Original,Professionnel,"56,82","60,45",Livraison gratuite,0,0,https://www.ebay.fr/itm/194723709489?itmmeta=01J0C65PRHR95VB32NWJZSY3C3&hash=item2d56700231:g:gF8AAOSwUV9WmQBC
For Motorola Moto G Stylus 5G 2023 Glow in the Dark Shockproof Phone Case Cover,Professionnel,"10,13","10,66","26,98",0,0,https://www.ebay.fr/itm/176051123417?itmmeta=01J0C65PRHADGZG998GEPAKCZT&hash=item28fd76f4d9:g:veIAAOSwrOBlXx9M
Motorola Moto G 5G (2023) XT-2313-6 Boost Mobile Unlocked 64GB Blue Very Good,"Free Shipping, Free 30 Day Returns","111,40",N/A,"30,52",0,0,https://www.ebay.fr/itm/176307284917?itmmeta=01J0C65PRHBNJ6MJW4A6GAVJXY&hash=item290cbbabb5:g:pZwAAOSw8uxmaLWB
ST17 Original Sony Ericsson Xperia active ST17i 3G Android Phone GPS WiFi,Professionnel,"76,02",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/195874270369?itmmeta=01J0C65PRHDKYS80611TG3831Y&hash=item2d9b042ca1:g:0swAAOSwt7pXM1Zj&var=495712624869
LG K7 MS330 - 8GB - White Android Smartphone -UI System Error - For Parts,Professionnel,"15,04","16,71","33,10",0,0,https://www.ebay.fr/itm/266368836361?itmmeta=01J0C65PRHTAK1YFSNE4K3BC0E&hash=item3e04d1e309:g:tAMAAOSwOmxk1mpf
guarnizione testa racing per Fiat Punto Lancia Dedra 1.6 1993-1999,Professionnel,"154,00  à 181,00",N/A,"60,00",0,0,https://www.ebay.fr/itm/165422272132?itmmeta=01J0C65PRHKS1N2TZAQM5NAM3X&hash=item2683ef8e84:g:6-wAAOSwyh1iTuwa&var=464978768428
NOKIA 6270 Bluetooth MP3 MP4 Player Mobile Phone Unlocked Original,Professionnel,"87,84","93,45",Livraison gratuite,0,0,https://www.ebay.fr/itm/145235812674?itmmeta=01J0C65PRHXAKVAPASRY3EKQJT&hash=item21d0baa142:g:AEAAAOSwaVNawfEa&var=444419080473
"UNLOCKED Phone Sony Xperia C4 E5363 Dual SIM 5.5"" 4G LTE 16GB 13MP Wifi GPS",Professionnel,"63,49","66,83","16,71",0,0,https://www.ebay.fr/itm/235188591420?itmmeta=01J0C65PRHFPS0EXN47JF73G8M&hash=item36c2551b3c:g:iKMAAOSwX~dWmK8k&var=535195215902
"4G Android Smartphone, 16GB (GSM Unlocked), Bluetooth, Wi-Fi, 2 SIM, 2Cam, Flash",Particulier,"27,76",N/A,"27,59",0,0,https://www.ebay.fr/itm/395258640836?itmmeta=01J0C65PRHH0ZD9X77E2CHED8V&hash=item5c074039c4:g:uDkAAOSwPYpl7Q4-
ZTE Blade Spark Z971 Smartphone - Damaged - Parts Only,Professionnel,"27,85",N/A,"32,30",0,0,https://www.ebay.fr/itm/296179002635?itmmeta=01J0C65PRHZ45DS9ANMCEHWJT9&hash=item44f5a4ed0b:g:rLQAAOSwErplrcEs
Original Unlocked Nokia 5233 Java WAP Video 3.2 Inch Touchscreen Cell Phone,Professionnel,"37,13",N/A,Livraison gratuite,0,0,https://www.ebay.fr/p/22065004324?iid=143872318362&var=443119996106&rt=nc
"Original Sony Xperia GO ST27i 3G Android WIFI GPS Unlocked Smart Phone 3.5""",Professionnel,"62,96","66,98",Livraison gratuite,0,0,https://www.ebay.fr/itm/195894578395?itmmeta=01J0C65PRHCFR7XEBWGN9W839E&hash=item2d9c3a0cdb:g:LGoAAOSwd0BVrMvW&var=495726411269
"Appareil photo double SIM Lava X3 (RAM 3 Go, 32 Go) 6,5 pouces écran 8 mégapixels GoogleplayPhone",Professionnel,"129,19",N/A,"16,58",0,0,https://www.ebay.fr/itm/185707997012?itmmeta=01J0C65PRHD6NCWNHX3NVEACWZ&hash=item2b3d0f2754:g:QjgAAOSwqFNjpBEk
"⚡️Samsung Galaxy A03s 32GB Black (AT&T) Prepaid Smartphone 6.5"" HD 👉Open Box👈",Particulier,"78,90",N/A,"29,38",0,0,https://www.ebay.fr/itm/304996870115?itmmeta=01J0C65PRHHX3PNGZ6F44P4HCW&hash=item47033ae7e3:g:RTcAAOSwpFxkl1qE
"Sony Xperia XZs Dual SIM G8232 Single SIM G8231 5.2"" 4GB 32GB Smartphone",Professionnel,"78,48  à 83,78","82,62","16,71",0,0,https://www.ebay.fr/itm/155723663323?itmmeta=01J0C65PRHHZHJ8E4GRD8KE01T&hash=item2441da87db:g:UZQAAOSwA99iXnTT&var=456090071206
"Samsung Galaxy A21 SM-A215U (USA)Android 6.5"" Phone 16.0MP",Professionnel,"109,24","116,21",Livraison gratuite,0,0,https://www.ebay.fr/itm/176340582783?itmmeta=01J0C65PRHW5H5W45PSK26MPC5&hash=item290eb7c17f:g:mDwAAOSw-GtkJQnX&var=475847395184
"SIMPLE ENFANTS BON MARCHÉ PERSONNES ÂGÉES BASIQUE FACILE À HANDICAPER, ENFANTS MOTOROLA C139 DÉBLOQUÉ",Particulier,"24,89",N/A,"16,59",0,0,https://www.ebay.fr/itm/266334775733?itmmeta=01J0C65PRHP2DNFQ6VXXD4K1P3&hash=item3e02ca29b5:g:xLgAAOSwj-NksULD
"APPLE IPHONE 6, 32GB (STRAIGHT TALK) CLEAN ESN, WORKS, PLEASE READ!! 60299",Professionnel,"41,77",N/A,"245,95",0,0,https://www.ebay.fr/itm/176369608157?itmmeta=01J0C65PRHTYH05V8VJD1K9HM1&hash=item291072a5dd:g:bKAAAOSwwChmO9KE
BOITE VIDE Original Official Mobile Phone Nokia 1616+ Notice - Vintage,Professionnel,"52,03",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/116150656864?itmmeta=01J0C65PRJR7999576JYHDJ7YE&hash=item1b0b1e5f60:g:KLEAAOSwlfFmIAD~
"NOKIA 1100B (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 58690",Professionnel,"12,90",N/A,"245,95",0,0,https://www.ebay.fr/itm/176106104363?itmmeta=01J0C65PRJ8A9G0077FQBSPN1D&hash=item2900bde62b:g:jmAAAOSw4xJlfNQ8&amdata=enc%3AAQAJAAAA0EpGfbZ1LbnXgP4hz4J1AB5ATalOkTpYVklv%2F7eNRbSq0voM828TeaauVygMwE0iSHmNarrLbojHdz372fBzDtHE9zj5qMpVWALtdrpVhsHZ0s3ef5W%2FGqK6HrSVATsqP0oH0IuQkXmFwWuD5szYP3INuV1aMkzTAPDfXIJdy9hGa7ACE2lEue5lACRZVpawv8DptVgLqQbZE1GSxbaYLywMQFeFJ1Ph%2F%2Bhhr1bjgYriKb9S6mNhEjv6L%2FYiuTHpHgFXve3M17ZwACSYmZK5CXI%3D%7Ctkp%3ABFBMsuyWhoNk
Mini Small GSM 2G Clamshell Mobile Dialer CellPhone Double Dual Standby SIM card,Professionnel,"33,97  à 34,06","37,02",Livraison gratuite,0,0,https://www.ebay.fr/itm/355514938772?itmmeta=01J0C65PRJCF7K28NSJZ9WJJ99&hash=item52c6577594:g:xREAAOSwPkRl5cvs&amdata=enc%3AAQAJAAAA0KdoUvZYdD6%2BLqIw5IhLxh7%2Bkh6jPOWsJUp7eHsU1cVwYmvXpod7MBZjq1Mhgf3Ts%2B2FcbogyHRbG6elpZxeYmPcyFHja87CWFBQDvVz%2BMLGnTT04Ye8Qr8UoXQ8pWhIQNXSjmU%2FlIlbcuBlHk11PCuWxloa%2FOaIEJ6BDC%2FRFR2GHzb4xKq6%2BzSOiwLoteYcMxsuY4yl4Ia8%2F5GDrGyjFhSqGsjGefmlOgrLNnHhKJ%2B00Wv7k8TiJx1Gh60mHl7h7JP6dhsi%2FUGXF0BL8qnC8jE%3D%7Ctkp%3ABFBMsuyWhoNk&var=624660577172
"Motorola Moto G6 Play 16GB ROM 2GB RAM 5.7"" 13.0MP Android Smartphone",Professionnel,"65,36","69,53",Livraison gratuite,0,0,https://www.ebay.fr/itm/186440139036?itmmeta=01J0C65Z6T7XP7S34EYT15G11G&hash=item2b68b2c11c:g:Xl0AAOSw0spmQhuQ&var=694488407819
"ZTE ZMAX GRAND LTE (CONSUMER CELLULAR) CLEAN ESN, WORKS, PLEASE READ!! 58520",Professionnel,"19,37",N/A,"245,95",0,0,https://www.ebay.fr/itm/176085830926?itmmeta=01J0C65Z6TV9MDVRGYHQVNAYWV&hash=item28ff888d0e:g:uhoAAOSwu1FlcfXm
Torcia Led BL-8373 Prodotto Autorevole Potente Batteria Caricabatterie Zoom,Professionnel,"22,90",N/A,"15,00",0,0,https://www.ebay.fr/itm/301461780822?itmmeta=01J0C65Z6T085TJFEDDSMAWR5K&hash=item463085b956:g:EG0AAOSw~uhUoHc~
Nokia E63 Symbian OS Original Unlocked WCDMA 3G Keyboard Phone Bluetooth WIFI,Professionnel,"32,66",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/175879088298?itmmeta=01J0C65Z6TPG6SYVDH61NSNWH3&hash=item28f335e8aa:g:pEEAAOSwV2Nfl3EV&var=475293077335
"OPPO F11 Dual SIM 4G LTE 4GB RAM 128GB ROM Android 6.53"" 48MP Smartphone",Professionnel,"84,18","89,55",Livraison gratuite,0,0,https://www.ebay.fr/itm/326108766484?itmmeta=01J0C65Z6T1F0136GGXTQWT4BV&hash=item4bed98e114:g:qTkAAOSwBuxmJntQ&var=515204059046
Microscopio Digitale USB 800X Alta Risoluzione Foto Video 2MP Led X Mac Windows,Professionnel,"49,90",N/A,"15,00",0,0,https://www.ebay.fr/itm/302684037028?itmmeta=01J0C65Z6TCEB54TXJS6NGXT89&hash=item46795fdfa4:g:vjsAAOSwkNZUicyg
"Original Samsung Galaxy Trend Lite Duos S7392 Android 3G 4GB 4"" 3.15MP Unlocked",Professionnel,"56,80","60,42",Livraison gratuite,0,0,https://www.ebay.fr/p/194423777?iid=256144232091&var=556117525554&rt=nc
Samsung Galaxy S24 Ultra Case Built-in Kickstand Shockproof Defender Phone Cover,Particulier,"15,97",N/A,"19,67",0,0,https://www.ebay.fr/itm/166616168629?itmmeta=01J0C65Z6T4B11SJF682AZR743&hash=item26cb18f8b5:g:eOYAAOSwN8Rl277N
Original Android Samsung Galaxy J2 Core SM-J260F/DS (2018) Dual SIM Mobile Phone,Professionnel,"91,06","96,87",Livraison gratuite,0,0,https://www.ebay.fr/itm/265617701537?itmmeta=01J0C65Z6T85V0SK1TR75PT5VE&hash=item3dd80c7aa1:g:w24AAOSwPPViQWIh
"Motorola Moto G6 Play 13.0MP 16GB ROM 5.7"" Android Smartphone",Professionnel,"65,59","69,78",Livraison gratuite,0,0,https://www.ebay.fr/itm/266777246914?itmmeta=01J0C65Z6TMZ9WE9B2BYNG26DJ&hash=item3e1d29bcc2:g:O1MAAOSwiWFmHiaS&var=566519891061
(Neuf et débloqué) VIVO T1 5G CYAN 8 Go + 128 Go double SIM octa-core Android téléphone portable,Professionnel,"373,34",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/235486346784?itmmeta=01J0C65Z6T1RWFMDH3JFGS8JKD&hash=item36d4147e20:g:wn0AAOSwOVRjpWJC
"Vivo Y55s (2021) 5G Dual SIM 8GB RAM 128GB ROM 50.0MP Mobile Phone Android 6.58""",Professionnel,"162,71","173,10",Livraison gratuite,0,0,https://www.ebay.fr/itm/355540634523?itmmeta=01J0C65Z6TNMMJDT4F0KA9P2RC&hash=item52c7df8b9b:g:nQAAAOSwCXpkw4Oq&var=624679453217
"APPLE IPHONE 6, 32GB (UNKNOWN CCARRIER) CLEAN ESN, WORKS, PLEASE READ!! 60279",Professionnel,"41,77",N/A,"245,95",0,0,https://www.ebay.fr/itm/186432486430?itmmeta=01J0C65Z6V4BPZ2GK8RAJT8HFE&hash=item2b683dfc1e:g:X6QAAOSwFy9mOlXd
Unlocked LG Google Nexus 5X H791 GSM Original 4G LTE 16GB/32GB Smartphone,Professionnel,"67,97  à 72,33","72,30",Livraison gratuite,0,0,https://www.ebay.fr/itm/354815237137?itmmeta=01J0C65Z6V7B8RSN9EEB36KHS8&hash=item529ca2dc11:g:BVEAAOSwfRdZGbLN&var=624134418036
"Clearsounds Ans3000 Amplified Answering Machine, Black",Particulier,"17,63",N/A,"76,99",0,0,https://www.ebay.fr/itm/386254669687?itmmeta=01J0C65Z6VM3MS238G5Y4AT0PG&hash=item59ee928777:g:yYYAAOSwd~5lRoO-
"Motorola Moto E (2020) 32GB ROM 2GB RAM 13.0MP Android 6.2"" Smartphone",Professionnel,"77,04","81,96",Livraison gratuite,0,0,https://www.ebay.fr/p/14039112880?iid=145734798037&rt=nc
Samsung E2530 GSM 850 / 900 / 1800 / 1900 Original Unlocked Flip Phone,Professionnel,"46,15","49,09",Livraison gratuite,0,0,https://www.ebay.fr/itm/175741081937?itmmeta=01J0C65Z6VVYEFRMZJGJ2A457B&hash=item28eafc1951:g:9eUAAOSwKatiquAb&var=475131034126
For Samsung Galaxy A13 5G Shockproof Hybrid Rugged Protective Case Cover & Ring,Professionnel,"10,57","11,62","26,99",0,0,https://www.ebay.fr/itm/234769593093?itmmeta=01J0C65Z6V7W3DW4FZR7JF8NAZ&hash=item36a95bb305:g:kLEAAOSwwXdjaLmU
SMARTPHONE MEDION E5005 NON TESTÉ POUR PIÈCES,Particulier,"21,33",N/A,"16,59",0,0,https://www.ebay.fr/itm/125606272670?itmmeta=01J0C65Z6VA16H639FYGDCP3X6&hash=item1d3eb79e9e:g:SFQAAOSwq9VjbQJW
"Android Xiaomi Redmi Note 7 Pro Dual SIM 6GB RAM 128GB ROM  Phone Octa-core 6.3""",Professionnel,"103,11","109,69",Livraison gratuite,0,0,https://www.ebay.fr/itm/195962774148?itmmeta=01J0C65Z6VANT4B0G2XWAPZ7FM&hash=item2da04aa284:g:kuEAAOSwqp5eJCsM&var=495818314617
Unlocked Motorola ATRIX 4G MB860 Black 4.0 inches Original 5.0MP Camera WIFI,Professionnel,"67,19","71,48",Livraison gratuite,8,0,https://www.ebay.fr/itm/194587337307?itmmeta=01J0C65Z6VBA1PJBAKTSB61MQY&hash=item2d4e4f225b:g:iOcAAOSwzaJX4zuk
"SAMSUNG GALAXY MEGA 2, 16GB (AT&T) CLEAN ESN, WORKS, PLEASE READ!! 59821",Professionnel,"40,14",N/A,"245,95",0,0,https://www.ebay.fr/itm/186355963309?itmmeta=01J0C65Z6VKRKRY0PTM8RBE3R4&hash=item2b63ae55ad:g:6DQAAOSwMZVl~EVV
Samsung Galaxy S5 mini G800H (USA) G800A (AT&T)Original Android Phone,Professionnel,"68,95","73,35",Livraison gratuite,0,0,https://www.ebay.fr/p/19041477482?iid=176253532119&var=475721142748&rt=nc
Unnecto Drone XS  U510  4GB - Black Duos Smartphone✅ For parts ✅,Particulier,"11,14",N/A,"32,79",0,0,https://www.ebay.fr/itm/335367713973?itmmeta=01J0C65Z6VEA7JTS307TNKJT1Z&hash=item4e157934b5:g:G34AAOSw29pmLFdk
Motorola Moto X Play XT1562 GSM / HSPA / 4G LTE Phone Original Unlocked,Professionnel,"75,53","80,35",Livraison gratuite,0,0,https://www.ebay.fr/p/24028133938?iid=195917363334&rt=nc
"Sony ericsson Xperia Neo MT15i MT15 Android Original 8MP Camera 3.7"" Touchscreen",Professionnel,"61,25","65,16",Livraison gratuite,0,0,https://www.ebay.fr/itm/324611535469?itmmeta=01J0C65Z6VKKQKRVA4NBKP7EW8&hash=item4b945af26d:g:IUIAAOSwwRFgVF23&var=513649404039
"Android LG X4+ LM-X415S 32GB ROM 2GB RAM 13MP Octa-core Smartphone 4G LTE 5.3""",Professionnel,"80,28","85,40",Livraison gratuite,0,0,https://www.ebay.fr/itm/193941733280?itmmeta=01J0C65Z6V579QY39H2C810J7Z&hash=item2d27d3ffa0:g:jWsAAOSwmN5gQytF&var=494136129678
Samsung Galaxy S7 G930A AT&T G930T T-Mobile G930V Verizon G930P Sprint CellPhone,Professionnel,"119,51","127,14",Livraison gratuite,0,0,https://www.ebay.fr/itm/194370704644?itmmeta=01J0C65Z6VVCMTYGRKV1R532RK&hash=item2d41659504:g:6ywAAOSwJURhRAE8&var=494485783030
Apple Mmyl3J/A Iphonese 3Rd Generation,Particulier,"752,50",N/A,"3,96",0,0,https://www.ebay.fr/itm/335435159700?itmmeta=01J0C65Z6VNPRFF8V4ZZW54KGC&hash=item4e197e5894:g:MWUAAOSwEIlmZ-dc
SAMSUNG GALAXY 16GB SM-J327T BLACK As-is,Particulier,"41,77",N/A,"33,87",0,0,https://www.ebay.fr/p/10027212905?iid=133588411469&rt=nc
Original Nokia Lumia 928 Windows Phone  Dual Core Unlocked 32GB 8.7MP 4G 4.5'',Professionnel,"73,53","78,22",Livraison gratuite,0,0,https://www.ebay.fr/p/153435451?iid=175850475569&var=475259966713&rt=nc
Bluetooth 2680S Nokia 2680 slide 2G GSM 900 1800 Unlocked Slide Phone,Professionnel,"45,76",N/A,Livraison gratuite,0,0,https://www.ebay.fr/itm/265584374128?itmmeta=01J0C65Z6VS389HEQP7ZD5E3QW&hash=item3dd60ff170:g:T4gAAOSwYrVgcVeN
For Motorola Moto G Stylus 5G 2023 2022 2021 Case Full Cover + Screen Protector,Professionnel,"12,34","12,99","27,05",0,0,https://www.ebay.fr/itm/256355998280?itmmeta=01J0C65Z6V2DAXZGQ9B7NJND70&hash=item3bb0021a48:g:U5kAAOSweZ1li5GV&var=556423229105
"Samsung Galaxy A606Y Dual Sim 6.3"" Infinity–O 128GB Android Phone By FedEx",Professionnel,"318,34",N/A,"38,99",0,0,https://www.ebay.fr/itm/323873608940?itmmeta=01J0C65Z6VVHHN5F6R9Q5XB3TY&hash=item4b685f14ec:g:o20AAOSwqnZc9iHu&var=512900415715
"REDMI 12 5G noir (6 Go de RAM | 128 Go de ROM) (6,79 pouces) version globale double SIM",Professionnel,"219,26",N/A,"17,77",5,0,https://www.ebay.fr/itm/186020607717?itmmeta=01J0C65Z6V804RE824ZWCAD21E&hash=item2b4fb136e5:g:R3MAAOSwUklkzJoy
Samsung Galaxy A51 Dual Sim 128GB 4G LTE 4GB RAM White Black Blue Smartphone,Professionnel,"272,26","289,64",Livraison gratuite,0,0,https://www.ebay.fr/p/4038381615?iid=174815076431&var=473996326306&rt=nc
Samsung Galaxy J7 V J727V (Verizon) J727P J727A J727T 16GB ROM 2GB RAM Phone,Professionnel,"78,96","84,00",Livraison gratuite,0,0,https://www.ebay.fr/itm/266775851423?itmmeta=01J0C65Z6V8D0C5AVGV82GC55J&hash=item3e1d14719f:g:jEwAAOSwPYpiqEwg&var=566518708808
Nokia 1.4 TA-1322   2GB 32GB Black Android Smartphone,Professionnel,"73,97",N/A,"80,72",0,0,https://www.ebay.fr/itm/235241798084?itmmeta=01J0C65Z6V7YH9HGJCG8199TM9&hash=item36c580f9c4:g:cYcAAOSwkYxlZqtA
Motorola W series W175g - Black (TracFone) Cellular Phone,Particulier,"27,85",N/A,"65,80",0,0,https://www.ebay.fr/p/100013393?iid=385831554164&rt=nc
A37F OPPO A37 Dual SIM Original 4G LTE 2GB RAM 16GB ROM CellPhone Android,Professionnel,"56,10","59,69",Livraison gratuite,0,0,https://www.ebay.fr/itm/266804168387?itmmeta=01J0C65Z6VZ2D1XPC13RJNDGFY&hash=item3e1ec486c3:g:5UsAAOSwv4Fc0~Bz&var=566546897600
"MOTOROLA DROID X - (VERIZON WIRELESS) CLEAN ESN, UNTESTED, PLEASE READ!! 33270",Professionnel,"7,42",N/A,"245,95",0,0,https://www.ebay.fr/itm/174087272869?itmmeta=01J0C65Z6V1Z6XXR31J8G6YRDF&hash=item288868f9a5:g:0x4AAOSwPbddwdjZ
Electric,Particulier,"13,93",N/A,"35,30",0,0,https://www.ebay.fr/itm/364544784449?itmmeta=01J0C65Z6V7FBWRP00K4CFA4K8&hash=item54e08ff841:g:wK4AAOSwXYxlN1hS
Smartphone Sony Xperia T2 Ultra TouchScreen Quad Core 1gb Ram 8gb Rom Wifi ,Professionnel,"87,56","93,15",Livraison gratuite,0,0,https://www.ebay.fr/itm/255459054715?itmmeta=01J0C65Z6VAF4R29J7E1RN90BA&hash=item3b7a8bd47b:g:Bd4AAOSwxxpiQWNE&var=555415427016
Motorola Communications Division Parts Division Part. No 1-854006,Professionnel,"7,34",N/A,"31,84",0,0,https://www.ebay.fr/itm/184024207168?itmmeta=01J0C65Z6VTH3N7YNHGCNT4C38&hash=item2ad8b28f40:g:~3QAAOSwJ~hdwehK
Samsung Galaxy A12 - 32GB - Black (AT&T) (Single SIM),Particulier,"102,12",N/A,"38,08",0,0,https://www.ebay.fr/p/3046977684?iid=185958897845&rt=nc
Téléphone portable Motorola Krzr K1 débloqué Bluetooth 2MP GSM téléphone mobile original,Professionnel,"35,06",N/A,"11,85",4,0,https://www.ebay.fr/itm/154006209545?itmmeta=01J0C65Z6V55GTX2X3G8YYWG0V&hash=item23db7c4409:g:E5oAAOSwewBZ0JcJ&var=454110376725
"NOKIA 5160 (UNKNOWN CARRIER) CLEAN ESN, UNTESTED, PLEASE READ!! 59968",Professionnel,"17,26",N/A,"245,95",0,0,https://www.ebay.fr/itm/176317710997?itmmeta=01J0C65Z6VJVD89MR726CF832S&hash=item290d5ac295:g:goAAAOSwWZ1mDVsQ
"Vivo Y01 (RAM 2 Go, 32 Go de stockage) 6,51 pouces 8 mégapixels-appareil photo double SIM Googleplay Store",Professionnel,"171,86",N/A,"16,58",0,0,https://www.ebay.fr/itm/175312371861?itmmeta=01J0C65Z6WYKH4ZWSNVV851T3Q&hash=item28d16e8095:g:nc4AAOSwUGNioZY6
